"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"605";2;5;6;6;6;6;6;6;18
"606";2;5;7;9;10;13;15;17;17
"607";2;5;7;9;10;13;15;17;17
"608";2;5;7;9;10;13;15;17;17
"609";2;5;7;9;10;13;15;17;17
"610";2;5;7;9;11;11;11;11;11
"611";2;5;7;9;10;12;12;12;12
"612";2;5;7;9;10;13;15;17;17
"613";2;5;7;9;10;12;12;12;12
"614";2;5;7;9;10;12;12;12;12
"615";2;5;7;8;8;8;8;8;8
"616";2;5;7;8;8;8;8;8;8
"617";2;5;7;9;10;12;12;12;12
"618";2;5;7;9;10;12;12;12;12
"619";2;5;7;9;10;12;12;12;12
"620";2;5;7;9;10;12;12;12;12
"621";2;5;7;9;10;12;12;12;12
"622";2;5;7;9;10;13;15;16;16
"623";2;5;7;9;10;12;12;12;12
"624";2;5;7;8;8;8;8;8;8
"625";2;5;7;9;10;12;12;12;12
"626";2;5;7;9;10;12;12;12;12
"627";2;5;6;6;6;6;6;6;19
"628";2;5;6;6;6;6;6;6;19
"629";2;5;6;6;6;6;6;6;19
"630";2;5;6;6;6;6;6;6;19
"631";2;5;6;6;6;6;6;6;19
"632";2;5;6;6;6;6;6;6;19
"633";2;5;6;6;6;6;6;6;19
"634";2;5;6;6;6;6;6;6;19
"635";2;5;6;6;6;6;6;6;19
"636";2;5;6;6;6;6;6;6;19
"637";2;5;7;9;10;13;15;17;17
"638";2;5;6;6;6;6;6;6;19
"639";2;5;6;6;6;6;6;6;19
"640";2;5;7;9;10;12;12;12;12
"641";2;5;7;9;10;12;12;12;12
"642";2;5;7;9;10;12;12;12;12
"643";2;5;7;9;10;12;12;12;12
"644";2;5;7;9;10;12;12;12;12
"645";2;5;7;9;10;12;12;12;12
"646";2;5;7;9;10;13;15;16;16
"647";2;5;7;9;10;12;12;12;12
"648";2;5;7;9;10;12;12;12;12
"649";2;5;7;9;10;12;12;12;12
"650";2;5;6;6;6;6;6;6;18
"651";2;5;6;6;6;6;6;6;18
"652";2;5;7;8;8;8;8;8;8
