"";"classe 1";"classe 2";"classe 3"
"*FUENTE_REUTERS";1;1;0
"*11-07-2025";1;0,02;1
"*18-12-2024";1;1;0
"*23-04-2025";1;1;0,007
"*26-09-2025";1;1;0
"*FUENTE_NYT";0;1;1
"*29-06-2025";0,258;0,495;1
"*02-10-2025";0;1;1
"*FUENTE_BBC";1;1;0,001
"*19-08-2025";1;1;0,35
"*19-09-2025";1;1;0,004
"*23-07-2025";1;1;0
"*22-07-2025";0,003;1;1
"*FUENTE_WSJ";0;1;1
"*12-10-2025";0;1;1
"*FUENTE_WP";1;0;1
"*17-12-2025";1;0;1
"*FUENTE_CNN";1;0,916;0
"*08-04-2025";1;1;0,898
"*08-02-2025";1;1;0
"*19-05-2025";1;1;0
"*30-01-2025";1;0;1
"*FUENTE_aljazeera";1;0;1
"*26-06-2025";1;0;1
"*10-06-2025";0,961;0,689;1
"*FUENTE_theguardian";0,001;1;1
"*13-02-2025";0,551;0,263;1
"*27-06-2025";1;1;0
"*10-04-2025";0;1;1
"*FUENTE_apnews";1;0,077;0,889
"*12-10-2024";0,003;1;1
"*04-03-2025";1;1;0
"*28-07-2025";1;0;1
"*FUENTE_theweek";0;1;1
"*DATE";0;1;1
"09-10-2025";0;1;1
"*FUENTE_calmatters";1;0,135;1
"*07-01-2025";1;0,135;1
"*FUENTE_businessinsider";0,548;1;0,013
"*2025";0,548;1;0,013
"*FUENTE_wired";0;1;1
"*29-09-2025";0;1;1
